at,dvc,DD,E,NegE,AC,current_ratio,debt_to_equity,roe,asset_turnover,tic,cik,fyear,mrk_eq,E_1,csho,sentiment
4727.344,78.838,1,191.421,0,-569.484,1.214121101,0.873027709,0.039776854,0.373194546,CTRA,858470,2017,11675316840,557.043,460.611,Uncertainty
4198.829,111.369,1,557.043,0,-120.211,1.895625627,1.010780309,0.266762732,0.521132916,CTRA,858470,2018,10745414400,614.658,422.685,Negative
151.903,0,0,-51.444,1,-12.909,11.04271682,0.112500183,-0.377715282,0.228408919,PTCT,1070081,2013,355170000,-51.444,23.803,NoSentiment
333.219,0,0,-93.753,1,-15.853,9.96369515,0.116434983,-0.314115128,0.075760986,PTCT,1070081,2014,786134360,-93.753,32.898,Negative
368.041,0,0,-170.447,1,-7.093,7.842704799,0.628492794,-0.754186928,0.099896479,PTCT,1070081,2015,1629104240,-170.447,33.917,NoSentiment
269.345,0,0,-139.626,1,5.068,5.26531517,1.252368648,-1.188379619,0.307059719,PTCT,1070081,2016,240540300,-139.626,34.169,Negative
391.653,0,0,-79,1,-21.909,3.035576736,1.503582912,-0.504995621,0.496337319,PTCT,1070081,2017,756002520,-79,41.612,Negative
1119.222,0,0,-107.041,1,-63.104,1.923649248,2.191148671,-0.365187168,0.236533949,PTCT,1070081,2018,1566623580,-107.041,50.606,Negative
242.343,0,0,1.624,0,-18.851,0.282323933,0.501868481,-0.017928744,1.010687332,LUB,16099,2010,108004050,3.901,28.064,Negative
228.02,0,0,3.901,0,-11.529,0.441744958,0.381629574,0.017965668,1.529462328,LUB,16099,2011,155338320,7.258,28.151,Negative
231.017,0,0,7.258,0,-21.456,0.383059243,0.337995703,0.039696743,1.515459901,LUB,16099,2012,188846200,4.856,28.177,Negative
250.305,0,0,4.856,0,-26.663,0.337441742,0.410026026,0.018505166,1.559497413,LUB,16099,2013,238805450,-0.813,28.304,Negative
275.435,0,0,-0.813,1,-25.382,0.318416523,0.573698464,-0.019694442,1.431847804,LUB,16099,2014,167062560,-1.334,28.45,Negative
264.258,0,0,-1.334,1,-15.424,0.340037712,0.512993891,-0.011874567,1.491288816,LUB,16099,2015,138700300,-10.218,28.635,Negative
252.225,0,0,-10.218,1,-18.488,0.37268302,0.521691915,-0.062418176,1.596348498,LUB,16099,2016,145183420,-22.259,28.94,NoSentiment
226.457,0,0,-22.259,1,-21.423,0.382852636,0.572050371,-0.161483353,1.660496253,LUB,16099,2017,81748520,-33.841,29.124,Uncertainty
199.989,0,0,-33.841,1,-15.166,0.242141141,0.775659694,-0.298043115,1.826080434,LUB,16099,2018,76340250,-10.908,29.504,Uncertainty
1148.043,12.254,1,45.147,0,54.653,1.5789668,1.760322571,0.089521987,2.181182238,CAL,14707,2010,658857540,39.786,43.911,Negative
1227.476,12.076,1,39.786,0,16.937,1.553886919,1.966953176,0.057819857,2.104174746,CAL,14707,2011,473999550,60.393,41.971,Negative
1171.259,12.011,1,60.393,0,-158.563,1.646585335,1.750073374,0.064547864,2.218181461,CAL,14707,2012,553309690,60.081,42.896,Negative
1149.403,12.105,1,60.081,0,-60.927,2.048697833,1.407822575,0.081196241,2.186450705,CAL,14707,2013,929019500,82.075,43.378,Negative
1216.812,12.237,1,82.075,0,-56.318,1.991764946,1.246607413,0.15296646,2.113480965,CAL,14707,2014,1249627580,92.13,43.752,Negative
1303.323,12.253,1,92.13,0,-14.5,2.242037515,1.163292236,0.13524114,1.977583454,CAL,14707,2015,1390120760,91.833,43.66,Negative
1475.273,12.104,1,91.833,0,-53.499,1.599228575,1.400824429,0.106850278,1.748414022,CAL,14707,2016,1050617160,97.054,42.963,Negative
